X,Y,Red,Green,Blue
0,148,255,255,255
0,149,255,0,0
0,150,0,0,0
0,151,254,255,255
0,152,255,255,255
0,153,0,0,0
0,154,255,0,0
0,155,255,0,0
0,156,255,255,255
0,157,0,0,0
0,158,255,255,255
0,159,254,255,255
0,160,255,255,255
0,161,255,255,255
0,162,0,0,0
0,163,255,0,0
0,164,0,0,0
0,165,0,0,0
0,166,0,0,0
0,167,255,0,0
0,168,255,0,0
0,169,255,0,0
0,170,0,0,0
0,171,255,0,0
0,172,254,255,255
0,173,255,0,0
0,174,255,255,255
0,175,254,255,255
0,176,254,255,255
0,177,255,0,0
0,178,0,0,0
0,179,255,0,0
0,180,255,255,255
0,181,255,0,0
0,182,0,0,0
0,183,255,0,0
0,184,255,255,255
0,185,255,0,0
0,186,255,0,0
0,187,255,255,255
0,188,255,0,0
0,189,0,0,0
0,190,254,255,255
0,191,254,255,255
0,192,255,0,0
0,193,255,255,255
0,194,255,255,255
0,195,0,0,0
0,196,255,255,255
0,197,255,255,255
0,198,255,0,0
0,199,255,0,0
1,0,254,255,255
1,1,0,0,0
1,2,0,0,0
1,3,0,0,0
1,4,254,255,255
1,5,255,0,0
1,6,254,255,255
1,7,254,255,255
1,8,254,255,255
1,9,255,255,255
1,10,254,255,255
1,11,0,0,0
1,12,254,255,255
1,13,254,255,255
1,14,255,255,255
1,15,0,0,0
1,16,0,0,0
1,17,0,0,0
1,18,255,255,255
1,19,255,255,255
1,20,255,255,255
1,21,0,0,0
1,22,255,0,0
1,23,255,0,0
1,24,254,255,255
1,25,255,0,0
1,26,254,255,255
1,27,255,0,0
1,28,255,255,255
1,29,255,0,0
1,30,255,0,0
1,31,254,255,255
1,32,255,0,0
1,33,255,255,255
1,34,255,0,0
1,35,254,255,255
1,36,255,255,255
1,37,254,255,255
1,38,255,255,255
1,39,254,255,255
1,40,254,255,255
1,41,255,255,255
1,42,255,0,0
1,43,255,0,0
1,44,255,0,0
1,45,254,255,255
1,46,255,255,255
1,47,254,255,255
1,48,255,255,255
1,49,255,255,255
1,50,254,255,255
1,51,255,255,255
1,52,0,0,0
1,53,255,0,0
1,54,255,255,255
1,55,255,255,255
1,56,255,255,255
1,57,254,255,255
1,58,0,0,0
1,59,255,255,255
1,60,254,255,255
1,61,254,255,255
1,62,254,255,255
1,63,0,0,0
1,64,254,255,255
1,65,255,255,255
1,66,255,255,255
1,67,255,255,255
1,68,255,255,255
1,69,255,255,255
1,70,0,0,0
1,71,0,0,0
1,72,255,0,0
1,73,255,0,0
1,74,0,0,0
1,75,255,0,0
1,76,255,255,255
1,77,255,0,0
1,78,255,0,0
1,79,0,0,0
1,80,254,255,255
1,81,255,0,0
1,82,254,255,255
1,83,254,255,255
1,84,255,255,255
1,85,255,255,255
1,86,255,0,0
1,87,0,0,0
1,88,254,255,255
1,89,255,255,255
1,90,254,255,255
1,91,254,255,255
1,92,254,255,255
1,93,255,0,0
1,94,255,255,255
1,95,0,0,0
1,96,255,0,0
1,97,255,255,255
1,98,254,255,255
1,99,0,0,0
1,100,0,0,0
1,101,255,255,255
1,102,255,0,0
1,103,254,255,255
1,104,0,0,0
1,105,254,255,255
1,106,255,255,255
1,107,0,0,0
1,108,255,0,0
1,109,255,0,0
1,110,0,0,0
1,111,0,0,0
1,112,0,0,0
1,113,255,255,255
1,114,0,0,0
1,115,254,255,255
1,116,255,0,0
1,117,255,255,255
1,118,255,0,0
1,119,255,255,255
1,120,0,0,0
1,121,255,0,0
1,122,0,0,0
1,123,254,255,255
1,124,255,255,255
1,125,0,0,0
1,126,254,255,255
1,127,0,0,0
1,128,255,255,255
1,129,255,255,255
1,130,254,255,255
1,131,0,0,0
1,132,255,0,0
1,133,0,0,0
1,134,255,255,255
1,135,255,0,0
1,136,255,0,0
1,137,254,255,255
1,138,255,0,0
1,139,255,0,0
1,140,255,255,255
1,141,255,0,0
1,142,255,255,255
1,143,255,255,255
1,144,0,0,0
1,145,255,255,255
1,146,255,0,0
1,147,255,255,255
1,148,254,255,255
1,149,254,255,255
1,150,255,0,0
1,151,255,0,0
1,152,255,255,255
1,153,254,255,255
1,154,255,0,0
1,155,254,255,255
1,156,255,255,255
1,157,254,255,255
1,158,255,255,255
1,159,255,0,0
1,160,254,255,255
1,161,0,0,0
1,162,255,0,0
1,163,255,0,0
1,164,0,0,0
1,165,254,255,255
1,166,0,0,0
1,167,255,255,255
1,168,255,0,0
1,169,0,0,0
1,170,255,0,0
1,171,255,0,0
1,172,0,0,0
1,173,255,0,0
1,174,255,255,255
1,175,254,255,255
1,176,254,255,255
1,177,255,255,255
1,178,0,0,0
1,179,254,255,255
1,180,254,255,255
1,181,254,255,255
1,182,255,0,0
1,183,254,255,255
1,184,255,255,255
1,185,254,255,255
1,186,0,0,0
1,187,0,0,0
1,188,255,255,255
1,189,255,0,0
1,190,254,255,255
1,191,0,0,0
1,192,255,0,0
1,193,255,0,0
1,194,254,255,255
1,195,0,0,0
1,196,254,255,255
1,197,255,255,255
1,198,255,255,255
1,199,255,255,255
2,0,255,255,255
2,1,255,0,0
2,2,0,0,0
2,3,255,255,255
2,4,254,255,255
2,5,254,255,255
2,6,254,255,255
2,7,254,255,255
2,8,254,255,255
2,9,254,255,255
2,10,0,0,0
2,11,255,0,0
2,12,0,0,0
2,13,255,0,0
2,14,255,0,0
2,15,255,255,255
2,16,0,0,0
2,17,0,0,0
2,18,254,255,255
2,19,0,0,0
2,20,254,255,255
2,21,255,255,255
2,22,254,255,255
2,23,0,0,0
2,24,255,255,255
2,25,255,255,255
2,26,255,255,255
2,27,254,255,255
2,28,254,255,255
2,29,254,255,255
2,30,255,255,255
2,31,254,255,255
2,32,255,0,0
2,33,0,0,0
2,34,0,0,0
2,35,255,0,0
2,36,255,255,255
2,37,0,0,0
2,38,255,255,255
2,39,255,0,0
2,40,254,255,255
2,41,0,0,0
2,42,255,0,0
2,43,0,0,0
2,44,255,255,255
2,45,255,255,255
2,46,255,0,0
2,47,254,255,255
2,48,255,255,255
2,49,254,255,255
2,50,255,255,255
2,51,254,255,255
2,52,0,0,0
2,53,255,0,0
2,54,254,255,255
2,55,0,0,0
2,56,254,255,255
2,57,255,0,0
2,58,255,255,255
2,59,255,255,255
2,60,254,255,255
2,61,0,0,0
2,62,254,255,255
2,63,255,0,0
2,64,254,255,255
2,65,0,0,0
2,66,254,255,255
2,67,255,255,255
2,68,254,255,255
2,69,0,0,0
2,70,255,255,255
2,71,254,255,255
2,72,255,0,0
2,73,254,255,255
2,74,255,0,0
2,75,255,0,0
2,76,255,255,255
2,77,254,255,255
2,78,254,255,255
2,79,0,0,0
2,80,255,255,255
2,81,0,0,0
2,82,255,255,255
2,83,254,255,255
2,84,255,0,0
2,85,0,0,0
2,86,254,255,255
2,87,255,0,0
2,88,0,0,0
2,89,255,255,255
2,90,254,255,255
2,91,0,0,0
2,92,255,0,0
2,93,255,0,0
2,94,255,255,255
2,95,254,255,255
2,96,255,0,0
2,97,255,0,0
2,98,255,0,0
2,99,254,255,255
2,100,255,0,0
2,101,0,0,0
2,102,0,0,0
2,103,254,255,255
2,104,254,255,255
2,105,254,255,255
2,106,255,255,255
2,107,0,0,0
2,108,255,0,0
2,109,254,255,255
2,110,254,255,255
2,111,255,255,255
2,112,255,0,0
2,113,0,0,0
2,114,0,0,0
2,115,255,255,255
2,116,255,0,0
2,117,255,255,255
2,118,255,0,0
2,119,254,255,255
2,120,255,0,0
2,121,254,255,255
2,122,255,255,255
2,123,255,255,255
2,124,254,255,255
2,125,255,255,255
2,126,254,255,255
2,127,254,255,255
2,128,255,0,0
2,129,254,255,255
2,130,254,255,255
2,131,254,255,255
2,132,0,0,0
2,133,254,255,255
2,134,255,255,255
2,135,0,0,0
2,136,0,0,0
2,137,0,0,0
2,138,255,0,0
2,139,254,255,255
2,140,254,255,255
2,141,255,255,255
2,142,254,255,255
2,143,255,0,0
2,144,0,0,0
2,145,255,0,0
2,146,255,0,0
2,147,255,255,255
2,148,255,0,0
2,149,255,0,0
2,150,255,255,255
2,151,255,0,0
2,152,0,0,0
2,153,0,0,0
2,154,255,255,255
2,155,254,255,255
2,156,254,255,255
2,157,255,255,255
2,158,255,255,255
2,159,0,0,0
2,160,255,0,0
2,161,255,0,0
2,162,255,0,0
2,163,0,0,0
2,164,254,255,255
2,165,255,0,0
2,166,255,0,0
2,167,255,255,255
2,168,254,255,255
2,169,254,255,255
2,170,254,255,255
2,171,254,255,255
2,172,0,0,0
2,173,254,255,255
2,174,255,255,255
2,175,254,255,255
2,176,254,255,255
2,177,255,255,255
2,178,254,255,255
2,179,255,255,255
2,180,255,255,255
2,181,0,0,0
2,182,255,255,255
2,183,255,0,0
2,184,255,255,255
2,185,255,0,0
2,186,255,255,255
2,187,254,255,255
2,188,255,255,255
2,189,254,255,255
2,190,255,0,0
2,191,255,255,255
2,192,0,0,0
2,193,0,0,0
2,194,254,255,255
2,195,255,255,255
2,196,255,255,255
2,197,254,255,255
2,198,0,0,0
2,199,255,255,255
3,0,254,255,255
3,1,255,0,0
3,2,255,0,0
3,3,0,0,0
3,4,255,0,0
3,5,254,255,255
3,6,255,0,0
3,7,255,255,255
3,8,0,0,0
3,9,254,255,255
3,10,255,0,0
3,11,255,0,0
3,12,255,0,0
3,13,255,255,255
3,14,255,255,255
3,15,255,255,255
3,16,0,0,0
3,17,255,0,0
3,18,254,255,255
3,19,255,255,255
3,20,254,255,255
3,21,254,255,255
3,22,255,255,255
3,23,0,0,0
3,24,254,255,255
3,25,255,255,255
3,26,255,255,255
3,27,255,255,255
3,28,0,0,0
3,29,254,255,255
3,30,0,0,0
3,31,0,0,0
3,32,255,0,0
3,33,255,0,0
3,34,255,0,0
3,35,255,0,0
3,36,255,0,0
3,37,255,255,255
3,38,0,0,0
3,39,254,255,255
3,40,0,0,0
3,41,255,0,0
3,42,255,0,0
3,43,255,255,255
3,44,0,0,0
3,45,255,255,255
3,46,255,255,255
3,47,255,0,0
3,48,255,255,255
3,49,255,0,0
3,50,255,255,255
3,51,255,0,0
3,52,0,0,0
3,53,255,255,255
3,54,0,0,0
3,55,0,0,0
3,56,255,0,0
3,57,0,0,0
3,58,255,255,255
3,59,255,255,255
3,60,254,255,255
3,61,254,255,255
3,62,255,0,0
3,63,0,0,0
3,64,255,0,0
3,65,255,0,0
3,66,255,255,255
3,67,254,255,255
3,68,0,0,0
3,69,254,255,255
3,70,255,255,255
3,71,255,255,255
3,72,0,0,0
3,73,255,0,0
3,74,255,255,255
3,75,255,0,0
3,76,255,255,255
3,77,255,255,255
3,78,0,0,0
3,79,0,0,0
3,80,255,0,0
3,81,0,0,0
3,82,254,255,255
3,83,255,0,0
3,84,0,0,0
3,85,255,0,0
3,86,255,255,255
3,87,255,0,0
3,88,255,0,0
3,89,255,255,255
3,90,255,255,255
3,91,255,0,0
3,92,0,0,0
3,93,255,0,0
3,94,255,0,0
3,95,0,0,0
3,96,255,255,255
3,97,255,0,0
3,98,254,255,255
3,99,0,0,0
3,100,255,0,0
3,101,255,255,255
3,102,254,255,255
3,103,0,0,0
3,104,254,255,255
3,105,255,255,255
3,106,255,0,0
3,107,254,255,255
3,108,0,0,0
3,109,255,0,0
3,110,255,255,255
3,111,255,255,255
3,112,255,255,255
3,113,0,0,0
3,114,0,0,0
3,115,255,255,255
3,116,255,0,0
3,117,254,255,255
3,118,255,255,255
3,119,255,0,0
3,120,255,255,255
3,121,254,255,255
3,122,0,0,0
3,123,255,0,0
3,124,254,255,255
3,125,255,255,255
3,126,0,0,0
3,127,254,255,255
3,128,0,0,0
3,129,255,0,0
3,130,255,255,255
3,131,255,0,0
3,132,255,0,0
3,133,255,255,255
3,134,254,255,255
3,135,255,0,0
3,136,0,0,0
3,137,255,0,0
3,138,0,0,0
3,139,255,0,0
3,140,255,255,255
3,141,254,255,255
3,142,0,0,0
3,143,0,0,0
3,144,255,0,0
3,145,0,0,0
3,146,255,0,0
3,147,255,0,0
3,148,255,255,255
3,149,255,0,0
3,150,0,0,0
3,151,0,0,0
3,152,0,0,0
3,153,254,255,255
3,154,0,0,0
3,155,254,255,255
3,156,255,0,0
3,157,254,255,255
3,158,254,255,255
3,159,255,0,0
3,160,0,0,0
3,161,0,0,0
3,162,0,0,0
3,163,0,0,0
3,164,255,0,0
3,165,255,255,255
3,166,255,0,0
3,167,255,0,0
3,168,255,255,255
3,169,255,255,255
3,170,254,255,255
3,171,255,0,0
3,172,255,255,255
3,173,255,255,255
3,174,255,255,255
3,175,255,255,255
3,176,255,0,0
3,177,255,0,0
3,178,0,0,0
3,179,255,0,0
3,180,255,255,255
3,181,255,0,0
3,182,0,0,0
3,183,254,255,255
3,184,254,255,255
3,185,255,255,255
3,186,255,0,0
3,187,0,0,0
3,188,254,255,255
3,189,255,0,0
3,190,255,0,0
3,191,255,0,0
3,192,255,0,0
3,193,255,255,255
3,194,0,0,0
3,195,255,0,0
3,196,254,255,255
3,197,254,255,255
3,198,254,255,255
3,199,254,255,255
4,0,254,255,255
4,1,255,0,0
4,2,255,255,255
4,3,255,0,0
4,4,255,255,255
4,5,254,255,255
4,6,255,0,0
4,7,254,255,255
4,8,255,0,0
4,9,255,255,255
4,10,255,0,0
4,11,0,0,0
4,12,254,255,255
4,13,255,255,255
4,14,254,255,255
4,15,255,255,255
4,16,254,255,255
4,17,255,0,0
4,18,255,255,255
4,19,0,0,0
4,20,0,0,0
4,21,255,255,255
4,22,255,0,0
4,23,254,255,255
4,24,254,255,255
4,25,255,255,255
4,26,255,255,255
4,27,255,0,0
4,28,254,255,255
4,29,255,0,0
4,30,0,0,0
4,31,255,255,255
4,32,0,0,0
4,33,255,255,255
4,34,0,0,0
4,35,255,0,0
4,36,0,0,0
4,37,255,255,255
4,38,255,0,0
4,39,255,255,255
4,40,0,0,0
4,41,254,255,255
4,42,255,255,255
4,43,0,0,0
4,44,255,0,0
4,45,255,255,255
4,46,255,0,0
4,47,255,0,0
4,48,0,0,0
4,49,255,255,255
4,50,254,255,255
4,51,255,255,255
4,52,0,0,0
4,53,255,255,255
4,54,255,0,0
4,55,254,255,255
4,56,255,255,255
4,57,254,255,255
4,58,0,0,0
4,59,254,255,255
4,60,255,255,255
4,61,255,255,255
4,62,0,0,0
4,63,255,255,255
4,64,254,255,255
4,65,255,0,0
4,66,255,0,0
4,67,255,255,255
4,68,254,255,255
4,69,0,0,0
4,70,254,255,255
4,71,255,255,255
4,72,255,255,255
4,73,254,255,255
4,74,255,0,0
4,75,254,255,255
4,76,0,0,0
4,77,254,255,255
4,78,0,0,0
4,79,255,0,0
4,80,0,0,0
4,81,255,0,0
4,82,0,0,0
4,83,255,255,255
4,84,0,0,0
4,85,255,0,0
4,86,255,255,255
4,87,0,0,0
4,88,254,255,255
4,89,0,0,0
4,90,254,255,255
4,91,255,255,255
4,92,255,255,255
4,93,254,255,255
4,94,255,255,255
4,95,0,0,0
4,96,255,255,255
4,97,255,0,0
4,98,255,0,0
4,99,0,0,0
4,100,255,0,0
4,101,254,255,255
4,102,254,255,255
4,103,0,0,0
4,104,0,0,0
4,105,255,255,255
4,106,255,0,0
4,107,254,255,255
4,108,255,0,0
4,109,255,255,255
4,110,254,255,255
4,111,255,0,0
4,112,0,0,0
4,113,0,0,0
4,114,254,255,255
4,115,254,255,255
4,116,255,255,255
4,117,255,0,0
4,118,255,255,255
4,119,255,0,0
4,120,0,0,0
4,121,255,255,255
4,122,255,255,255
4,123,0,0,0
4,124,255,0,0
4,125,0,0,0
4,126,255,0,0
4,127,0,0,0
4,128,254,255,255
4,129,254,255,255
4,130,255,0,0
4,131,255,255,255
4,132,255,0,0
4,133,254,255,255
4,134,254,255,255
4,135,255,255,255
4,136,255,255,255
4,137,0,0,0
4,138,254,255,255
4,139,255,255,255
4,140,0,0,0
4,141,0,0,0
4,142,255,255,255
4,143,0,0,0
4,144,255,255,255
4,145,255,0,0
4,146,255,0,0
4,147,255,0,0
4,148,255,255,255
4,149,255,255,255
4,150,255,255,255
4,151,255,255,255
4,152,255,0,0
4,153,254,255,255
4,154,255,0,0
4,155,0,0,0
4,156,255,0,0
4,157,0,0,0
4,158,0,0,0
4,159,255,0,0
4,160,255,255,255
4,161,255,255,255
4,162,254,255,255
4,163,255,0,0
4,164,0,0,0
4,165,255,0,0
4,166,0,0,0
4,167,255,255,255
4,168,0,0,0
4,169,254,255,255
4,170,254,255,255
4,171,255,255,255
4,172,0,0,0
4,173,255,255,255
4,174,0,0,0
4,175,255,0,0
4,176,255,255,255
4,177,255,0,0
4,178,0,0,0
4,179,255,255,255
4,180,255,255,255
4,181,255,0,0
4,182,255,0,0
4,183,255,255,255
4,184,0,0,0
4,185,255,255,255
4,186,254,255,255
4,187,255,255,255
4,188,0,0,0
4,189,254,255,255
4,190,255,255,255
4,191,255,0,0
4,192,254,255,255
4,193,255,0,0
4,194,254,255,255
4,195,0,0,0
4,196,255,255,255
4,197,0,0,0
4,198,255,0,0
4,199,255,255,255
5,0,0,0,0
5,1,255,255,255
5,2,254,255,255
5,3,254,255,255
5,4,254,255,255
5,5,254,255,255
5,6,255,255,255
5,7,255,0,0
5,8,255,0,0
5,9,0,0,0
5,10,254,255,255
5,11,255,255,255
5,12,254,255,255
5,13,0,0,0
5,14,255,255,255
5,15,254,255,255
5,16,255,0,0
5,17,255,255,255
5,18,0,0,0
5,19,254,255,255
5,20,0,0,0
5,21,255,255,255
5,22,255,255,255
5,23,255,255,255
5,24,255,255,255
5,25,0,0,0
5,26,0,0,0
5,27,254,255,255
5,28,255,255,255
5,29,255,255,255
5,30,255,255,255
5,31,255,255,255
5,32,255,0,0
5,33,255,255,255
5,34,0,0,0
5,35,255,0,0
5,36,255,255,255
5,37,255,255,255
5,38,255,255,255
5,39,254,255,255
5,40,255,0,0
5,41,254,255,255
5,42,254,255,255
5,43,255,0,0
5,44,254,255,255
5,45,255,255,255
5,46,254,255,255
5,47,255,255,255
5,48,254,255,255
5,49,254,255,255
5,50,0,0,0
5,51,254,255,255
5,52,254,255,255
5,53,254,255,255
5,54,255,0,0
5,55,0,0,0
5,56,0,0,0
5,57,0,0,0
5,58,255,0,0
5,59,255,0,0
5,60,255,255,255
5,61,255,255,255
5,62,254,255,255
5,63,254,255,255
5,64,254,255,255
5,65,0,0,0
5,66,254,255,255
5,67,255,255,255
5,68,0,0,0
5,69,255,255,255
5,70,0,0,0
5,71,0,0,0
5,72,254,255,255
5,73,255,255,255
5,74,254,255,255
5,75,255,255,255
5,76,255,255,255
5,77,254,255,255
5,78,255,255,255
5,79,254,255,255
5,80,254,255,255
5,81,0,0,0
5,82,0,0,0
5,83,254,255,255
5,84,255,0,0
5,85,254,255,255
5,86,255,0,0
5,87,255,255,255
5,88,255,255,255
5,89,0,0,0
5,90,254,255,255
5,91,0,0,0
5,92,255,255,255
5,93,0,0,0
5,94,254,255,255
5,95,0,0,0
5,96,0,0,0
5,97,0,0,0
5,98,255,0,0
5,99,255,255,255
5,100,255,255,255
5,101,254,255,255
5,102,255,255,255
5,103,255,255,255
5,104,254,255,255
5,105,255,255,255
5,106,254,255,255
5,107,0,0,0
5,108,254,255,255
5,109,255,255,255
5,110,255,0,0
5,111,254,255,255
5,112,255,0,0
5,113,0,0,0
5,114,254,255,255
5,115,254,255,255
5,116,255,0,0
5,117,0,0,0
5,118,255,255,255
5,119,254,255,255
5,120,254,255,255
5,121,254,255,255
5,122,254,255,255
5,123,254,255,255
5,124,255,255,255
5,125,255,0,0
5,126,255,255,255
5,127,255,255,255
5,128,254,255,255
5,129,255,0,0
5,130,254,255,255
5,131,255,255,255
5,132,254,255,255
5,133,0,0,0
5,134,255,0,0
5,135,255,0,0
5,136,255,0,0
5,137,255,255,255
5,138,255,255,255
5,139,254,255,255
5,140,255,255,255
5,141,255,0,0
5,142,254,255,255
5,143,254,255,255
5,144,255,0,0
5,145,255,255,255
5,146,255,0,0
5,147,255,255,255
5,148,255,255,255
5,149,254,255,255
5,150,0,0,0
5,151,254,255,255
5,152,255,0,0
5,153,255,255,255
5,154,255,0,0
5,155,255,255,255
5,156,255,0,0
5,157,255,255,255
5,158,255,255,255
5,159,255,255,255
5,160,255,255,255
5,161,255,0,0
5,162,0,0,0
5,163,254,255,255
5,164,254,255,255
5,165,255,0,0
5,166,0,0,0
5,167,255,0,0
5,168,0,0,0
5,169,254,255,255
5,170,255,255,255
5,171,255,0,0
5,172,255,255,255
5,173,254,255,255
5,174,255,0,0
5,175,255,0,0
5,176,0,0,0
5,177,255,0,0
5,178,255,0,0
5,179,0,0,0
5,180,254,255,255
5,181,255,0,0
5,182,255,255,255
5,183,254,255,255
5,184,254,255,255
5,185,255,255,255
5,186,0,0,0
5,187,254,255,255
5,188,255,0,0
5,189,255,255,255
5,190,255,255,255
5,191,255,255,255
5,192,254,255,255
5,193,0,0,0
5,194,254,255,255
5,195,255,0,0
5,196,255,255,255
5,197,255,255,255
5,198,255,255,255
5,199,0,0,0
6,0,254,255,255
6,1,255,0,0
6,2,0,0,0
6,3,0,0,0
6,4,0,0,0
6,5,0,0,0
6,6,0,0,0
6,7,254,255,255
6,8,254,255,255
6,9,0,0,0
6,10,254,255,255
6,11,255,255,255
6,12,0,0,0
6,13,254,255,255
6,14,255,0,0
6,15,255,255,255
6,16,254,255,255
6,17,0,0,0
6,18,0,0,0
6,19,0,0,0
6,20,255,255,255
6,21,0,0,0
6,22,255,255,255
6,23,255,255,255
6,24,255,0,0
6,25,255,255,255
6,26,254,255,255
6,27,254,255,255
6,28,255,0,0
6,29,255,0,0
6,30,255,255,255
6,31,254,255,255
6,32,254,255,255
6,33,255,255,255
6,34,255,0,0
6,35,0,0,0
6,36,255,0,0
6,37,255,255,255
6,38,0,0,0
6,39,255,255,255
6,40,254,255,255
6,41,255,0,0
6,42,0,0,0
6,43,0,0,0
6,44,255,255,255
6,45,255,0,0
6,46,0,0,0
6,47,0,0,0
6,48,0,0,0
6,49,0,0,0
6,50,254,255,255
6,51,0,0,0
6,52,0,0,0
6,53,0,0,0
6,54,254,255,255
6,55,254,255,255
6,56,0,0,0
6,57,255,0,0
6,58,255,255,255
6,59,0,0,0
6,60,255,255,255
6,61,255,255,255
6,62,0,0,0
6,63,255,255,255
6,64,254,255,255
6,65,254,255,255
6,66,0,0,0
6,67,254,255,255
6,68,0,0,0
6,69,0,0,0
6,70,254,255,255
6,71,255,255,255
6,72,0,0,0
6,73,255,0,0
6,74,254,255,255
6,75,255,0,0
6,76,254,255,255
6,77,255,0,0
6,78,0,0,0
6,79,255,255,255
6,80,0,0,0
6,81,0,0,0
6,82,0,0,0
6,83,254,255,255
6,84,0,0,0
6,85,255,255,255
6,86,254,255,255
6,87,255,255,255
6,88,255,255,255
6,89,254,255,255
6,90,255,255,255
6,91,0,0,0
6,92,255,255,255
6,93,255,255,255
6,94,254,255,255
6,95,255,255,255
6,96,254,255,255
6,97,0,0,0
6,98,254,255,255
6,99,255,255,255
6,100,255,255,255
6,101,255,255,255
6,102,0,0,0
6,103,255,0,0
6,104,0,0,0
6,105,254,255,255
6,106,255,0,0
6,107,0,0,0
6,108,255,0,0
6,109,0,0,0
6,110,254,255,255
6,111,0,0,0
6,112,255,0,0
6,113,255,255,255
6,114,255,255,255
6,115,255,255,255
6,116,255,255,255
6,117,0,0,0
6,118,255,255,255
6,119,0,0,0
6,120,255,255,255
6,121,255,255,255
6,122,0,0,0
6,123,255,255,255
6,124,255,0,0
6,125,0,0,0
6,126,255,255,255
6,127,255,255,255
6,128,255,0,0
6,129,255,255,255
6,130,0,0,0
6,131,255,255,255
6,132,0,0,0
6,133,255,255,255
6,134,255,0,0
6,135,0,0,0
6,136,0,0,0
6,137,255,255,255
6,138,254,255,255
6,139,0,0,0
6,140,255,0,0
6,141,254,255,255
6,142,255,0,0
6,143,255,0,0
6,144,255,0,0
6,145,255,0,0
6,146,255,0,0
6,147,254,255,255
6,148,0,0,0
6,149,0,0,0
6,150,0,0,0
6,151,255,255,255
6,152,0,0,0
6,153,255,255,255
6,154,0,0,0
6,155,254,255,255
6,156,0,0,0
6,157,254,255,255
6,158,255,0,0
6,159,255,0,0
6,160,255,255,255
6,161,0,0,0
6,162,255,255,255
6,163,255,255,255
6,164,255,255,255
6,165,254,255,255
6,166,255,0,0
6,167,0,0,0
6,168,0,0,0
6,169,255,0,0
6,170,0,0,0
6,171,255,255,255
6,172,254,255,255
6,173,255,255,255
6,174,255,255,255
6,175,255,255,255
6,176,255,255,255
6,177,255,255,255
6,178,255,255,255
6,179,255,0,0
6,180,255,255,255
6,181,255,0,0
6,182,255,255,255
6,183,255,0,0
6,184,255,0,0
6,185,255,255,255
6,186,254,255,255
6,187,255,255,255
6,188,255,255,255
6,189,255,0,0
6,190,254,255,255
6,191,0,0,0
6,192,254,255,255
6,193,0,0,0
6,194,255,255,255
6,195,255,255,255
6,196,254,255,255
